,Requirement
242,The system should be able to enforce privacy of data by encryption of data during transmission. 
243,The proposed system can perform well in the web environments and also with huge files.  
244,The system shall allow multiple clients to login and save their files to the remote server concurrently. 
245,The system shall be easy to use given that the interface actions and elements are to be consistent 
246,The system should ensure that error messages are communicate to the user or admin. 
247,The system shall ensure that actions which cannot be undone are to request confirmation before they are effected. 
248,The proposed system shall provide access permissions for application data may only be changed by the system�s data administrator and data stored in the database to be hashed. 
249,The system shall ensure encryption of data during transmission. 
250,The system shall enforce security through the use of password protected user accounts 
251,The system shall ensure that the way the interface operates should not be vague but should be designed so that users can easily run tasks 
252,The system shall ensure that the interface moves swiftly in pace with user�s mouse clicking and having where possible. 
253,The system shall ensure that the interface is user-friendly to avoid human errors credited to poor user interface quality. 
254,The system shall allow users to enter their usernames and passwords.  
255,The system shall ensure that the login password is stored in encrypted format. 
256,"The system shall be able to detect whether the input credentials are authentic, then accept or else reject if the credentials are incorrect. "
257,The system shall allow the user to be directed to the options page or back to the login page for retrial. 
258,This system provides functionality of verifying user� login credentials against the ones stored in the system.
259,System shall allow user input of Licence number/National I.D Number/Registration Number.
260,"The system shall be able to determine whether the login credentials are valid or not, and search for matching results of the particular licence owner, or vehicle information. "
261,"The system shall ensure that the user logs into the system if credentials are valid, otherwise it directs the user back to the login page, the user should input another licence number, or vehicle registration number. "
262,The system shall allow the user to create an account on the system and logs in using fingerprint.  
263,The system shall allow the user to input the Licence number/national I.D Number of the driver in the system 
264,The system shall allow the user to capture Vehicle Registration Number using camera 
265,The system shall allow Fingerprint Verification of the Licence Owner
266,The system shall allow the user to extract the Registration Number 
267,The system shall allow the user to query the database 
268,The system shall display the profile of licence owner 
269,The system shall be able to close the session 
270,The system shall provide storage of all important information in a secure database 
271,The system shall provide access to sensitive information only to the privileged  user 
272,The system shall have the ability of scanning imagines of vehicle registration numbers and undergo pattern recognition for database matching
273,"The system shall display the licence owner�s profile, and the vehicle information"
274,"The system should be easy to maintain such that the modules should easily interact effectively and in case of failure, a re-initialization of the program is recommended. "
275,The system should be very portable due to the software application which will be installed on a mobile device. 
276,The system software shall be based on web and has to be run from a web server that interacts with the software installed in the mobile device
277,The system software shall take initial load time depending on internet connection strength which also depends on the mobile device from which the system is run. 
278,The performance shall also depend upon the hardware components of the device in which the system is installed. 
279,The system should be easy to use by users.  Online help facilities should be available to help user to perform their online activities 
280,The system shall automatically store credential information in a central database 
281,The system shall prompt for a password to log in to access the services 
282,The system shall use a secure path of sending all the useful credentials to the platform 
283,The system shall never display a user�s password.  It shall always be echoed with special characters representing typed characters. 
284,The user interface for the software shall be compatible to any android mobile device by which the user can access to the system. 
285,The system should be able to capture windows log files independent from the Window Operating System 
286,The system should use hmac to maintain integrity of the log files and detect when file has been modified using the technology 
287,The system shall be able to use PGP to maintain security of the log files
288,The system should be able to analyse the captured logs using a visual approach 
289,The system should be able to produce an audit report summary to send to the user of the system.  
290,The system shall take a short time to respond to a command to encrypt and decrypt data 
291,The system shall have high throughput which is high rate of processing the work and the services of the user 
292,The system shall provide availability of the audit report to users 
293,The system shall offer a short data transmission time between the target machine and big server 
294,The system shall provide a user-friendly interface that can be used by auditors without any technical challenges 
295,The system�s interface will include a clear and easy to interpret dashboard that has all the information needed about the securely captured logs. 
296,The system shall allow log capture to be a background process making the auditor�s job much easier. 
297,The system uses HMAC to maintain integrity of log files. 
298,The system through pgp will incorporate both symmetric key and public key cryptography to ensure confidentiality of the log files during transmission. 
299,The system shall allow users to have their own user specific key that is generated by the machine and has been added to the list of keys for the MAC generation process  
300,The system shall ensure the exchange of data is between some target host computers on the same network and web-based application software. 
301,The system shall enable specific logs from the computers to be captured and faultlessly interfaced with the web-based application with the help of security mechanism including HMAC and PGP.  
302,The system shall ensure that a secure and effective interface is established to reduce the affiliated risk of errors from inaccurate data formats. 
303,"The system shall ensure that the originator of the log files that are required, recognizing the data items and data structures that are necessary for exchange. "
304,The system shall enable implementation of clear secure data exchange protocols and document the interfaces and the protocols being utilized. 
305,The system shall allow a user to create and load an image 
306,The system shall facilitate case management for ZRP
307,The system shall enable a user to find web history of a machine 
308,The system shall show Logs investigator activity 
309,The system shall allow for easy maintenance. 
310,The system make use of stored procedures 
311,The system shall be able to perform well in the web environments in terms of responsiveness and stability under a heavy workload.  
312,The system shall be able to adapt to all types of applications
313,The system shall have a higher probability of failure-free operation for a specified period of time in a specified environment.  
314,"The system shall provide maturity, fault tolerance and recoverability."
315,The system shall offer ease of use and learnability and shall be user-friendly. 
316,The system shall be based on a client-server architecture hence resources are to be obtained from two difference sources at any given point increasing efficiency in resource utilization and also reduction in system bottlenecks. 
317,This system will be easy to maintain as it will be deployed with the documentation associated with it including code snippets which allows the project to be transferable to another maintenance or updating. 
318,"The system shall be accessible through the use of web interface, and the service can be accessed through different platforms namely Windows, Linux, Android or Mac OS to name just but a few. "
319,"The system should offer a secure single sign-on platform, which will give access to different application that the user is entitled to access. "
320,The system shall allow user validation to be done during login to ensure that the user is who they claim to be 
321,The system shall allow that the user only has access to his or her permitted data.  
322,The system shall allow general users to only have access through the user interface.
323,The system will have consistent interface formats and button sets for all forms in the application 
324,"The system shall have a form based interface for all data entry and viewing formats, and will generate reports that are formatted in a table and that should look like the existing manual report formats for use friendliness. "
325,The system shall have fault tolerance and shall have ability to do a  safe exit of the program if a problem is encountered 
326,The system shall allow the user to access the start menu screen 
327,The system shall allow the user to view the paired devices at any time 
328,The system should be useful to enhance with further technology in future to improve its features compared to the existing system. 
329,The system should be able to perform in all independent paths that all the logical conditions are satisfied 
330,The system should pertain to all the situations so that it can be recoverable in any error conditions. 
331,The system should work all the time and provide a means to handle errors with little or no input from the user.  
332,The data provided by the system should be validated and verified were possible. 
333,The system should be maintained properly so that it should be able to resolve any data conflicts and sustain at any condition.  
334,The program coding should be well documented and laid out particularly to facilitate future upgrades and additional features being added at a later date. 
335,The software should be easy to use with little training or experience 
336,The system should be able to carry out each task requested by the user as quickly as possible
337,The system should be developed with future upgrades and additional functionality being added to a later date 
338,The system should be able to provide data for the current maximum number of tags presently two thousand for a period of thirty days in whatever format the user decides
339,The system should operate with the minimum adequate resource levels to ensure that it performs at a level acceptable to the user�
340,The system shall adhere to HCI standards. 
341,The system shall allow every type of file to be entered for analysis
342,The system shall display interfaces describing operations performed during processes 
343,The system shall show descriptions of work-flows and stages as outlined in the sequence diagram 
344,The system must generate reports (date time file hash status) or other outputs after the file has been scanned. 
345,The system shall allow clients or administrator to enter the data or upload or download files from or into the system
346,The system must meet applicable regulatory requirements 
347,The system shall offer high Response Time to give results as soon as possible
348,The system must be scalable 
349,The system must have capacity of nearly infinity users
350,The service of the system must always be available whenever it is needed 
351,"The results from the scanning process must be reliable, which means minimum or no false positives"
352,The system shall allow every history of scans to be recoverable in case of system interrupt
353,"The system shall be interoperable across all platforms e.g different browsers, operating systems and hardware.  "
354,The system user with privileges should input password and be able to log into the system.
355,The system shall allow use of passwords and usernames to access and modify data 
356,The system shall allow easy storage retrieval and manipulation of data 
357,The system offers an easy to understand interface.  Henceforth people of different age groups can use the system.  Pictures and simple choice of words are used in the system. 
358,The system offers quick retrieval of information 
359,Technical constraints � system should be easy to use for users as we may not see them but they will use the system without training. 
360,"The system survives under its boundaries, which also sets limits to its operations, and the limits make up the restrictions. "
361,"The system shall provide reliable performance in terms of throughput, response time. "
362,"The system must provide services that are user friendly, reliable and flexible  "
363,The system components shall be expandable. 
364,The system shall allow a user to be able to retrieve information from the database. 
365,The system shall use Bluetooth a wireless technology for the transmission of data among two devices in close proximity of each other 
366,"The system shall apply a mechanism to establish proof of identities, to verify who a particular user is.  "
367,The system shall provide Bluetooth authentication so that users do not need to disable laptop authentication as they have to frequently unlock the laptop during office working hours.
368,The system shall allow a user to use Bluetooth to enable smartphone that communicates with a laptop over a short-range wireless link. 
369,The system shall allow pairing of smartphone with the laptop. 
370,"The system shall offer a user-friendly UI for easy interfacing, so that less literate patients can also use it and the buttons are clearly labeled, large enough and visible. Usability  "
371,The system has very few interfaces that it does not confuse users as they advance into the system.
372,The system shall support at least 200 concurrently connected users. 
373,The system should maintain basic patient information and permissions on a central server. 
374,"The system shall allow new accounts for patients, medical centres and health practitioners to be created. "
375,The system capture and store users� fingerprint template at the initial signing in. 
376,The system should be able to match fingerprint at login. 
377,The system should allow users to store critical information such as allergies and conditions on a central server. 
378,The system should allow certified medical facilities to access critical patient information as needed. 
379,The system shall maintain full patient medical records in an encrypted format on a server. 
380,The system shall provide a common API for health information systems to update and read records. 
381,The system shall allow approved certified health providers to append information into the encrypted central server. 
382,The system shall allow health care providers to access the system through a screen based software application.
383,The system shall allow individual facility  servers to remain unaffected when the central server fails. 
384,The system shall ensure that the central server remain unaffected when the institutes system fails. 
385,"The system shall enforce encryption on all files, communication channels and backups. "
386,The system shall allow for access levels to be implemented on patient information. 
387,The system shall provide audit trails when required. 
388,The system should be able to sniff the traffic to and from the network in real time�. 
389,"The system should be able to analyze the network traffic and detects intrusion, attacks and threats to the network."
390,The system should be able to warn the network officers about the possible occurrence of an intrusion attack and provides information regarding that attack. 
391,The system should be able to block traffic to and from the network that is identified to be potentially malicious.
392,The system should be able to provide reports monthly regarding the anomalies detected. 
393,The system should be able to provide visualization in terms of graphs. 
394,The system should be able to monitor the network in real time.
395,"The system shall be developed in python and java languages making the program portable I,e platform independent,  the system is easy to transfer from one hardware and/or software system environment to another. "
396,The system guarantees reliability and availability because the tools used in developing the system (Apache Kafka and Apache Storm) allows the system to be resilient to failure and to be available all the time. 
