Project ID,Class,Requirement
3,Integrity,'Allow the user to check the integrity of stored data through the PDP functionality. '
3,Maintainability,"'The system shall be easy to maintain as it can easily be integrated with other systems, modified or reused on other different platforms, '"
3,Availability,'The system shall be web based and therefore guarantees maximum availability of data to the cloud data owners'
3,Usability,'The system shall have clearly defined links and buttons that show the various functionalities that the user may require'
3,Performance,'The system shall allow multiple clients to login and save their files to the remote server'
3,Usability,'The System shall be a simple to use and attractive website with a clear presentation of elements. '
3,Usability,'It must be user friendly and make it easy for the users to navigate through the web materials. '
3,Performance,'It must be responsive. The application must not keep the data owners waiting for long time while waiting for it to process their requests and respond. '
3,Usability,'It must also be interactive and provides help information to help the clients and give them guidance on how to use the system. '
3,Portability,'It must be portable in such a way that it can be usable on different devices with different screen sizes without difficulties. '
4,IntrusionD,"'The system shall be used to detect the presence of malware in an Android application, identify possible malware families and classify them accordingly into their families.  '"
4,Auditing,'The system shall generate a report outlining what effect the malware has done during execution in an isolated environment. '
4,IntrusionD,'The system shall show a report containing detailed results found in files submitted for analysis and will clearly indicate which file is malicious and which one is benign. '
4,IntrusionD,'The system shall focus on known and unknown malware families with the aim of unearthing newly developed malware which are potentially harmful to the Android applications. '
4,Availability,"'The application will be available as a standalone application which will be installed on users� virtual machines and thus will not be affected by network availability, '"
4,Immunity,'The system shall be abstracted from the user and the application has no user interaction hence the chances of users breaking it are very limited'
4,Usability,"'The system shall be designed in such a way that the final product will be user-friendly and very efficient, '"
4,Portability,"'The system shall be easily transferred to and installed on another platform, '"
4,Maintainability,"'The system shall apply a number of methods, such as regular maintenance, to facilitate reliability assurance of the system, '"
4,Performance,'The system shall be capable of producing accurate results through reduced margin of false negatives and false positives'
5,Functionality,'The system shall allow a member to spontaneously form a group of n signers using group public keys which associate the group members. '
5,Integrity,'The system shall allow a user to sign a document on behalf of the group using his secret key '
5,Functionality,'The system shall allow a whistle-blower to send the message digest (message m + signature ?) using his mobile phone to Zimbabwe Anti-Corruption Commission. '
5,Authentication,'The Zimbabwe Anti-Corruption Commission then verifies the signature using the group public key so that it will be convinced that it actually came from the organisation without the knowledge of the actual signer'
5,Performance,"'The SAG system shall perform well in the web environments, '"
5,Portability,'The system shall adapt to all types of application. '
5,Usability,'The system shall be user friendly. '
5,Maintainability,"'The system shall be easy to transfer to another environment, including install ability'"
6,Functionality,'The system shall create an environment for embedding and extracting the watermark from an image. '
6,Functionality,'The system shall also provide a section for verification in the sense that if an image is said to have a watermark it should be able to detect and display the watermark. '
6,Functionality,'The system shall allow an author who desires to protect his/her work from unauthorized use to upload an image with his/her visible digital watermark along with the registration number '
6,Functionality,'The system shall allow the administrator to embed the invisible digital watermark whenever an author submits his /her piece of art '
6,Integrity,'The system shall allow verification of watermarked image which is submitted twice or more by different authors to protect the owner�s copyrights '
6,Authentication,'The system shall apply the principle of authentication by notifying if there is a watermark on the image or not '
6,Portability,'The digital watermark system is compatible with all the operating systems'
7,Functionality,'The system shall be able to take face pictures of a suspect'
7,Functionality,'The system shall be able to save taken pictures into the database'
7,Functionality,'The system shall optionally allow the user to destroy the suspect�s details files or save them for future records in a secure database '
7,Functionality,'The system shall be able to match current picture with database pictures'
7,Functionality,'The system shall be able to retrieve criminal records from the database based on pictures taken '
7,Functionality,'The system shall utilize a centralized database '
7,Performance,"'The speed of searching, comparing and matching the pictures in the database is determined by the algorithm used '"
7,Maintainability,"'The system shall have independent classes for databases so they can be maintained, tested and system improvements can be done easily '"
8,IntrusionD,'The system shall be able to listen for any port scan on university WIFI network.'
8,Immunity,'The system shall be able to block internet connection to the computer doing port scanning.'
8,Functionality,The system shall be able to push warning script to the rogue node.'
8,IntrusionD,'The system shall be able to check netstat and recent network connections to see if rogue node is a victim of pivoting and if so trace the attacking machine. '
8,Functionality,'The system shall be able to Recover unique identifiers of the node which was used to generate the node s unique ID/fingerprint upon registration when the owner entered/joined the university with it '
8,IntrusionD,'The system shall be able to note hostname of rogue node as well as the SSID of the network it is connected to so as to know from which section on campus is the attack being done. '
8,Functionality,'The system shall be able to check with students laptop and university PC register and search for device matching the rogue node and corresponding student and student personal details. '
8,Functionality,'The system shall be able to display message on rogue note screen warning the student by name that port scanning is not allowed and this is automatically added to the student s record if such an offence is repeated more than once. '
8,Functionality,'The system shall be able to generate monthly reports which can be viewed by network admin when necessary. '
8,Performance,"'The software is relatively fast to most GUI soft wares, this is because it will contain some low-level code running in the background '"
8,IntrusionD,'The system shall allow background processes to monitor for any scan and relay information to the registry about any unusual activities '
8,Performance,'The system shall allow 2 seconds to fetch student details from the database'
8,Functionality,"'The system shall look at port scanning only on the host it will be deployed on, this will devote all the listen to one part of the many policies in a computer'"
8,Maintainability,'The system shall be updated with patches and newer versions when required'
8,Portability,'The system shall need some adjustments for it to work on Linux platform but it shall be installable on windows without any other adjustments needed'
8,Usability,'The system shall be delivered with a user manual and once installed the software is easy to run'
8,Usability,' The system shall allow the administrator to log in and set the software to run and give desired alerts from PCs scanning the server'
8,Functionality,'The system shall be able to detect an approaching figure. '
8,Functionality,'The system shall be able to input digits and display the punched digits. '
8,Authentication,'The system shall be able to authenticate pin entered. '
8,Authorisation,'The system shall be able to open the door when the pin is correct '
8,Functionality,'The system shall allow the buzzer to ring if 3 consecutive wrong attempts are made. '
8,Functionality,'The system shall allow GSM to send an SMS alert message when 3 consecutive wrong attempts are entered'
9,Performance,'The system shall allow a short time to respond to a command to encrypt and decrypt data.'
9,Performance,'The system shall allow high throughput � high rate of processing the work and the services of the user.'
9,Availability,'The system shall allow high availability of the application whenever the user needs it so a recovery module will be set in case of loss of the mobile phone. '
9,Performance,'The system shall allow short data transmission between the computer and the smart phone over Bluetooth.'
9,Performance,'The system shall allow the Bluetooth data lock systems to produce the same repeated results'
9,Availability,"'The system shall allow that if the mobile phone is not present, some authentications are done by the user to obtain access to the system'"
9,Portability,'The system will be able to execute properly on any windows platform '
9,Confidentiality,'The system shall employ encryption technics at the database side and use HTTPS when accessing networked resources over the internet'
9,Portability,'The system shall be portable as long as there is internet connectivity'
10,Functionality,'The system shall send child SMS to parent device '
10,Functionality,'The system shall forward child SMS/MMS to an email account '
10,Functionality,'The system shall send phone call notifications of child device as SMS '
10,Functionality,'The system shall forward phone call notifications of child device to an email account'
10,Functionality,'The system shall be able to request for phone location by a SMS of parent device '
10,Functionality,'The system shall be able to record phone call in audio file forwarded with notification if parent asked for those (forward by email only) '
10,Functionality,'The system shall be able to send phone location with a time period '
10,Functionality,'The system shall be able to forward pictures '
10,Functionality,'The system shall be able to send a random screen shot of videos played in phone (forward by email only)'
10,Functionality,'The system shall be able to remotely start/stop mic record with keyword in SMS and forward the audio file by email '
10,Functionality,'The system shall be able to access contacts list in child device '
10,Functionality,'The system shall be able to disable/Enable applications list with keyword in SMS '
10,Functionality,'The system shall be able to keep reminders about a child '
10,Immunity,'The system shall be able to filter harmful websites against URLs� of known harmful websites. Access to known harmful websites shall not be permitted.'
10,Functionality,"'The system-+ shall be able to collect and analyse data that the child is typing and if it captures certain keywords or a continuous sequence of expletives, it should send an alert through text to the parent�s smartphone. '"
10,Functionality,'The system shall prevent any applications from being installed or uninstalled '
10,Auditing,'The system shall be able to generate and send periodic logs the parent�s smartphone '
10,Availability,'The system shall be up and running all the time since its checking or monitoring the child�s behavior and prevent any media from being sent or received using Bluetooth '
10,Functionality,'The system shall allow a user who has a functional account with the Twitter platform to create an application to access tokens. '
10,Functionality,'The system shall be able to connect to Twitter Streaming API. '
10,Performance,'The system shall be able to extract raw data from Twitter in real time. '
10,Functionality,'The system shall be able to pre-process the unstructured data into meaning information and match with existing keywords in database. '
10,Functionality,'The system shall be able to apply a classification algorithm for classification of the processed tweets matching with the labeled tweets in the tweet corpus. '
10,Portability,'The system shall be used on any device that meets the specified hardware and software requirements'
10,Functionality,'The system will be used by government officials to bring relevant information to the user unlike the normal web search where web information retrieval is difficult as hundreds of irrelevant documents are returned in response to a search query. '
11,Functionality,'The system shall sync with a major international Bitcoin exchange for real time exchange prices. '
11,Functionality,'The system shall provide currency calculator for Bitcoin conversion to USD. '
11,Authorisation,'The system shall provide an escrow (PayNow linked to Zimbabwean commercial banks and mobile money platforms) that locks USD until confirmation from seller. '
11,Functionality,'The system shall provide web of trust reputation statistics '
11,Functionality,'The system shall capture and store all transactions.'
11,Functionality,'The system shall manage user profiles. '
11,Functionality,'The system shall enable Bitcoin transaction processing '
11,Functionality,'The system shall be able to sync with other exchange platforms for exchange prices. '
11,Performance,'The system shall ensure that interaction between user and application has a minimum lag time '
11,Survivability,'The system shall allow for a safe fail whenever there is a fault. '
11,Survivability,"'The system shall provide maturity, fault tolerance and recoverability in the face of a fault. '"
11,Functionality,' The system shall comply with the anti-money laundering guidelines of Zimbabwe. '
11,Usability,'The system shall be easy to use and user friendly. '
11,Maintainability,'New exchange interfaces should be easily integrated into the already existing system without modifying core functionality of the product software. '
12,Functionality,'The system shall allow a member to spontaneously form a group of n signers using group public keys which associate the group members. '
12,Integrity,'The system shall allow a user to sign a document on behalf of the group using his secret key '
12,Functionality,'The system shall allow a whistle-blower to send the message digest (message m + signature ?) using his mobile phone to Zimbabwe Anti-Corruption Commission. '
12,Authentication,'The system shall allow the Zimbabwe Anti-Corruption Commission to verify the signature using the group public key so that it will be convinced that it actually came from the organisation without the knowledge of the actual signer '
12,Performance,'The system shall be able to perform well in the web environments. '
12,Portability,'The system shall adapt to all types of application. '
12,Survivability,"'The system shall provide maturity, fault tolerance and recoverability despite the challenges of balancing development time. '"
12,Usability,'The system shall be easy to use and user friendly. '
12,Performance,'The system shall ensure good performance and resource behaviour by measuring the static quality attributes of the application to predict potential operational performance bottlenecks and future scalability problems. '
12,Maintainability,"'The system shall ensure easy maintainability by enforcing best practices in documentation, applying complexity avoidance strategy, and following basic programming practices.  '"
12,Portability,'The system shall be easily transferred to another environment with install ability. '
13,Functionality,'The system shall monitor motion through cameras.  '
13,Auditing,'The system shall retain video logs that only have motion.  '
13,Functionality,'The system shall report motion and alert the responsible parties after analyzing the conditions without the aid of external motion detection sensors. '
13,Performance,'The system shall have a moderate to high performance owing to limited resource use by using programmer initiated garbage collection for cases where the compiler might produce inefficient code. '
13,Performance,'The system shall only use multithreading sparingly in order to increase performance system without slowing down lower end hardware. '
13,Usability,'The system shall be user friendly with a very small learning curve. '
13,Usability,'The system�s intuitive design of the interface will make operating the software easy and quick. '
13,Usability,'The system shall provide a detailed manual of use in case the learning curve proves too steep for some users. '
13,Portability,'The system shall be deployable across any system with the correct version of python and its corresponding dependent nonstandard libraries. But easier if packaged using Fladesk '
13,Maintainability,'The system shall be maintainable by enforcing modularity which makes the system components loosely coupled such that they can be modified independently and then reintegrated into the system. '
13,Maintainability,'The system shall maintain a strict documentation including comments in the source code so as to make the code easy to modify and debugging.  '
14,IntrusionD,"'The system shall allow Network traffic monitoring in real-time by capturing incoming and outgoing TCP, HTTP(S) and TLS web traffic, in order to correlate it with configured cryptojacking blacklist. '"
14,IntrusionD,"'The system shall analyse TCP, HTTP(S) and TLS web traffic, to detect network connections to known cryptocurrency mining pools or service providers such as BTC.com and coinhive.com ''"
14,Functionality,"'The system shall create a snapshot of the user�s usual average CPU utilization percentage, in order to subsequently be used as a basis for comparison, enabling the detection of the tremendous CPU load increase caused by cryptojacking.'"
14,IntrusionD,"The system shall monitor CPU usage to detect spikes in CPU usage caused by cryptojacking by constantly reading the computer�s current CPU utilization percentage and compare it to the CPU usage baseline, and detect the extreme spikes or deviations from the usual CPU usage baseline due to cryptojacking activity. "
14,Functionality,'The system shall produce a pop-up notification reporting the detected cryptojacking activity. '
14,Functionality,'The system shall automatically send email alerts of detected cryptojacking activity.  '
14,Authentication,"'The system shall allow the user to set an email-change password, so that it will subsequently be requested when attempting to change the set user�s email address.  '"
14,Immunity,'The system shall allow the cryptojacking application to be terminated unless the user explicitly selects to ignore the cryptojacking application. '
14,Auditing,"'The system shall enable the detected cryptojacking domain or application to be logged, along with the date and time of detection. '"
14,Performance,"'The system should be able to detect cryptojacking quickly, in a timely-manner. '"
14,Performance,'The system should not consume significantly high CPU resources. '
14,Performance,'The system should perform with minimal CPU overhead. '
14,Usability,"'The system should be easy to use, even by general users, with a user-friendly interface.  '"
14,Usability,'It should be easy to learn and understand how to effectively use the system '
14,IntrusionD,'The system should be reliable in detecting known cryptojacking malware activity. '
14,Portability,'The system should be compatible with computer systems running the Microsoft Windows operating system '
14,Confidentiality,"'The system should preserve the user�s privacy by not publishing the monitored network traffic, and not exposing the user�s registered email address.'"
14,Authorisation,'The system should ensure only the authorized user is able to change the registered email address for receiving cryptojacking alerts. '
14,Functionality,' The system should offer password strength measuring capability to suggest password security improvements to the user. '
14,Confidentiality,'The system should not violate laws by not infringing the privacy of sensitive user information and intellectual property rights. '
15,Authentication,'The system shall use a two-way authentication system by combining keyboard activities and mouse movement biometrics to improve security.'
15,Functionality,'The system shall capture user�s keyboard typing pattern and mouse movement pattern during registration. '
15,Functionality,'The system shall enable unique features to be extracted using datasets. '
15,Functionality,'The system shall learn the user�s unique pattern using Na�ve Bayes algorithms and store the template in the database. '
15,Authentication,The system shall allow that the features be extracted when the user logs in and a similarity match done to check the authenticity of the user and if a match is successful the user will be granted access and access will be denied in the event of a mismatch. 
15,Performance,"'The system shall allow that the performance of the application in terms of throughput, response time be checked at different intervals after deployment by the customer support team.  '"
15,Availability,'The system shall allow for operation at all times.  '
15,Performance,'The system shall be put under several tests such as stress testing such that there will be no errors in verifying the user. '
15,Availability,'The system shall ensure that the downtime of internet will not affect its availability as any user can still be granted or denied access to the system. '
15,Availability,'The system shall circumvent the electricity power cuts challenges by the use of UPS (uninterrupted power supply). '
15,Authentication,'The system shall be able to distinguish the legitimate user from an illegitimate one by the use of unique behavioral biometrics '
15,Authorisation,'The system shall ensure that confidential information can only be accessed to the right individuals. '
15,Maintainability,"The system shall be easy to maintain since the application has a clear separation of its database and logic code from the system in which it will be applied to, therefore it will be easy to sandbox the proposed system and maintain it without affecting the whole system. "
15,Maintainability,'The system shall be maintained through frequent updates.  '
15,Portability,"'The system shall be built to be compatible with many operating systems such as windows, android and linux. '"
16,Authorisation,'The system shall perform verification to determine user and access rights. '
16,Auditing,'The system shall keep logs for every operation made by the user for audit trailing commitments.'
16,Functionality,'The system shall give an update of balance left after every toll deduction by SMS reporting '
16,Functionality,'The system shall allow adding of a new user and updating current ones. '
16,Functionality,'The system shall be able to show all the business units that are registered afore user make a selection '
16,Functionality,'The system shall be able to create reports from activity in the system. '
16,Performance,'The system shall allow for the tolling sms to be sent with a latency of not more than an hour from such an action.'
16,Performance,'The system shall allow a user to access data or resources in an indicated location and in the right format at all times. '
16,Maintainability,"'The system shall have a modular design catering for corrective, perfective, adaptive and preventive maintenance. '"
16,Portability,'The system shall be portable and easy to relocate from one computer environment to another. '
17,Functionality,'The system shall allow entering the name of the individual whose details and PII are to be searched. '
17,Functionality,'The system shall allow the web application access to the social sites public profiles  '
17,Functionality,'The system shall allow Selenium scraping an individual�s personally identifiable information. '
17,Functionality,'The system shall allow extraction of the personally identifiable information. '
17,Functionality,'The system shall display the personally identifiable information on a graphical user interface. '
17,Performance,"'The system shall be designed to have a short response time to opening the web application, requesting user details and uploading the personally identifiable information onto a profile.  '"
17,Performance,"'The system shall have a high rate of processing of the work and the services of the user. This means if a person�s details are requested, the request should be processed and results displayed without much delay.  '"
17,Availability,"'The system shall provide access whenever the user needs to check publicly available records of an individual, they should be able to do so since social media details are always available '"
17,Performance,'The system shall offer a short time for data transmission between social network site and Selenium. '
17,Usability,'The system shall have a high usability through an easy to use GUI in which a user will only enter a search query since Selenium will be communicating with the social media site. '
17,Usability,'The system shall have a small learning curve for users to get accustomed to the application. '
17,Auditing,'The system shall make it easy to trace an individual�s activities after a crime has taken place.'
17,Auditing,"'The system shall access personally, identifiable information to allow investigators to be able to reconstruct a criminal event after it happens, thereby securing the evidence. '"
17,Functionality,'The system shall access a profile from which the PII is scraped and displayed on the graphical user interface. '
18,Functionality,'The system should be able to generate USSD codes for the transaction. '
18,Functionality,'The system should be able to send the messages to the target number. '
18,Confidentiality,'The system should be able to secure the messages by encrypting them. '
18,Confidentiality,'The system should keep history of the transactions in a secure database. '
18,Authentication,'The system should restrict password attempts to three only. '
18,Functionality,'The system should comply with laws governing the technology to be used'
18,Functionality,'The system should be able to terminate transaction after ninety seconds of no response.'
19,Authentication,'The system should be able to carry out authentication of the user through user name and password '
19,Functionality,'The system shall allow a user to have a functional account on the enterprise application '
19,Functionality,'A classification algorithm should be applied to determine the probability of a claim being fraudulent'
19,Functionality,'The system should flag a claim whose score exceeds the threshold '
19,Confidentiality,'The system shall be accessible to users via HTTPS web portal '
19,Functionality,'System should allow users to download reports. '
19,Availability,'The system shall be able to function as desired all the time.  '
19,Availability,'The proposed system� logistics are easily accessed hence its availability is guaranteed when and as required. '
19,Integrity,'The information entered is only altered by the user upon authentication being done to verify. '
19,Usability,'The manner in which the system functions should be easy and direct for the users of the system. '
19,Performance,'The system should have a very fast response time to user�s actions.'
19,Integrity,'Permissions to access the system data should only be altered by the system�s data administrator.'
19,Authentication,'The system should time out after a set period of inactivity'
19,Confidentiality,'The system should be able to enforce privacy of data by encryption of data during transmission. '
19,Performance,'The proposed system can perform well in the web environments and also with huge files.  '
19,Performance,'The system shall allow multiple clients to login and save their files to the remote server concurrently. '
19,Usability,'The system shall be easy to use given that the interface actions and elements are to be consistent '
19,Usability,'The system should ensure that error messages are communicate to the user or admin. '
19,Usability,'The system shall ensure that actions which cannot be undone are to request confirmation before they are effected. '
19,Integrity,'The proposed system shall provide access permissions for application data may only be changed by the system�s data administrator and data stored in the database to be hashed. '
19,Confidentiality,'The system shall ensure encryption of data during transmission. '
19,Authentication,'The system shall enforce security through the use of password protected user accounts '
19,Usability,'The system shall ensure that the way the interface operates should not be vague but should be designed so that users can easily run tasks '
19,Performance,'The system shall ensure that the interface moves swiftly in pace with user�s mouse clicking and having where possible. '
19,Usability,'The system shall ensure that the interface is user-friendly to avoid human errors credited to poor user interface quality. '
20,Identification,'The system shall allow users to enter their usernames and passwords.  '
20,Confidentiality,'The system shall ensure that the login password is stored in encrypted format. '
20,Authentication,"'The system shall be able to detect whether the input credentials are authentic, then accept or else reject if the credentials are incorrect. '"
20,Authorisation,'The system shall allow the user to be directed to the options page or back to the login page for retrial. '
20,Authentication,'This system provides functionality of verifying user� login credentials against the ones stored in the system.'
20,Functionality,'System shall allow user input of Licence number/National I.D Number/Registration Number.'
20,Authorisation,"'The system shall be able to determine whether the login credentials are valid or not, and search for matching results of the particular licence owner, or vehicle information. '"
20,Authentication,"'The system shall ensure that the user logs into the system if credentials are valid, otherwise it directs the user back to the login page, the user should input another licence number, or vehicle registration number. '"
20,Authentication,'The system shall allow the user to create an account on the system and logs in using fingerprint.  '
20,Functionality,'The system shall allow the user to input the Licence number/national I.D Number of the driver in the system '
20,Functionality,'The system shall allow the user to capture Vehicle Registration Number using camera '
20,Functionality,'The system shall allow Fingerprint Verification of the Licence Owner'
20,Functionality,'The system shall allow the user to extract the Registration Number '
20,Functionality,'The system shall allow the user to query the database '
20,Functionality,'The system shall display the profile of licence owner '
20,Functionality,'The system shall be able to close the session '
20,Confidentiality,'The system shall provide storage of all important information in a secure database '
20,Authorisation,'The system shall provide access to sensitive information only to the privileged  user '
20,Functionality,'The system shall have the ability of scanning imagines of vehicle registration numbers and undergo pattern recognition for database matching'
20,Identification,"'The system shall display the licence owner�s profile, and the vehicle information'"
20,Maintainability,"'The system should be easy to maintain such that the modules should easily interact effectively and in case of failure, a re-initialization of the program is recommended. '"
20,Portability,'The system should be very portable due to the software application which will be installed on a mobile device. '
20,Performance,'The system software shall be based on web and has to be run from a web server that interacts with the software installed in the mobile device'
20,Performance,'The system software shall take initial load time depending on internet connection strength which also depends on the mobile device from which the system is run. '
20,Performance,'The performance shall also depend upon the hardware components of the device in which the system is installed. '
20,Usability,'The system should be easy to use by users.  Online help facilities should be available to help user to perform their online activities '
20,Confidentiality,'The system shall automatically store credential information in a central database '
20,Authentication,'The system shall prompt for a password to log in to access the services '
20,Confidentiality,'The system shall use a secure path of sending all the useful credentials to the platform '
20,Confidentiality,'The system shall never display a user�s password.  It shall always be echoed with special characters representing typed characters. '
20,Portability,'The user interface for the software shall be compatible to any android mobile device by which the user can access to the system. '
21,Functionality,'The system should be able to capture windows log files independent from the Window Operating System '
21,Integrity,'The system should use hmac to maintain integrity of the log files and detect when file has been modified using the technology '
21,Confidentiality,'The system shall be able to use PGP to maintain security of the log files'
21,Functionality,'The system should be able to analyse the captured logs using a visual approach '
21,Auditing,'The system should be able to produce an audit report summary to send to the user of the system.  '
21,Performance,'The system shall take a short time to respond to a command to encrypt and decrypt data '
21,Performance,'The system shall have high throughput which is high rate of processing the work and the services of the user '
21,Auditing,'The system shall provide availability of the audit report to users '
21,Performance,'The system shall offer a short data transmission time between the target machine and big server '
21,Usability,'The system shall provide a user-friendly interface that can be used by auditors without any technical challenges '
21,Usability,'The system�s interface will include a clear and easy to interpret dashboard that has all the information needed about the securely captured logs. '
21,Auditing,'The system shall allow log capture to be a background process making the auditor�s job much easier. '
21,Integrity,'The system uses HMAC to maintain integrity of log files. '
21,Confidentiality,'The system through pgp will incorporate both symmetric key and public key cryptography to ensure confidentiality of the log files during transmission. '
21,Authentication,'The system shall allow users to have their own user specific key that is generated by the machine and has been added to the list of keys for the MAC generation process  '
21,Functionality,'The system shall ensure the exchange of data is between some target host computers on the same network and web-based application software. '
21,Auditing,'The system shall enable specific logs from the computers to be captured and faultlessly interfaced with the web-based application with the help of security mechanism including HMAC and PGP.  '
21,Integrity,'The system shall ensure that a secure and effective interface is established to reduce the affiliated risk of errors from inaccurate data formats. '
21,Auditing,"'The system shall ensure that the originator of the log files that are required, recognizing the data items and data structures that are necessary for exchange. '"
21,Confidentiality,'The system shall enable implementation of clear secure data exchange protocols and document the interfaces and the protocols being utilized. '
22,Functionality,'The system shall allow a user to create and load an image '
22,Functionality,'The system shall facilitate case management for ZRP'
22,Functionality,'The system shall enable a user to find web history of a machine '
22,Auditing,'The system shall show Logs investigator activity '
22,Maintainability,'The system shall allow for easy maintenance. '
22,Survivability,'The system make use of stored procedures '
22,Performance,'The system shall be able to perform well in the web environments in terms of responsiveness and stability under a heavy workload.  '
22,Portability,'The system shall be able to adapt to all types of applications'
22,Performance,'The system shall have a higher probability of failure-free operation for a specified period of time in a specified environment.  '
22,Survivability,"'The system shall provide maturity, fault tolerance and recoverability.'"
22,Usability,'The system shall offer ease of use and learnability and shall be user-friendly. '
22,Performance,'The system shall be based on a client-server architecture hence resources are to be obtained from two difference sources at any given point increasing efficiency in resource utilization and also reduction in system bottlenecks. '
22,Maintainability,'This system will be easy to maintain as it will be deployed with the documentation associated with it including code snippets which allows the project to be transferable to another maintenance or updating. '
22,Portability,"'The system shall be accessible through the use of web interface, and the service can be accessed through different platforms namely Windows, Linux, Android or Mac OS to name just but a few. '"
23,Authorisation,"'The system should offer a secure single sign-on platform, which will give access to different application that the user is entitled to access. '"
23,Authentication,'The system shall allow user validation to be done during login to ensure that the user is who they claim to be '
23,Authorisation,'The system shall allow that the user only has access to his or her permitted data.  '
23,Functionality,'The system shall allow general users to only have access through the user interface.'
23,Usability,'The system will have consistent interface formats and button sets for all forms in the application '
23,Usability,"'The system shall have a form based interface for all data entry and viewing formats, and will generate reports that are formatted in a table and that should look like the existing manual report formats for use friendliness. '"
24,Survivability,'The system shall have fault tolerance and shall have ability to do a  safe exit of the program if a problem is encountered '
24,Functionality,'The system shall allow the user to access the start menu screen '
24,Functionality,'The system shall allow the user to view the paired devices at any time '
24,Usability,'The system should be useful to enhance with further technology in future to improve its features compared to the existing system. '
24,Portability,'The system should be able to perform in all independent paths that all the logical conditions are satisfied '
24,Survivability,'The system should pertain to all the situations so that it can be recoverable in any error conditions. '
24,Availability,'The system should work all the time and provide a means to handle errors with little or no input from the user.  '
24,Integrity,'The data provided by the system should be validated and verified were possible. '
24,Maintainability,'The system should be maintained properly so that it should be able to resolve any data conflicts and sustain at any condition.  '
24,Maintainability,'The program coding should be well documented and laid out particularly to facilitate future upgrades and additional features being added at a later date. '
24,Usability,'The software should be easy to use with little training or experience '
24,Performance,'The system should be able to carry out each task requested by the user as quickly as possible'
24,Maintainability,'The system should be developed with future upgrades and additional functionality being added to a later date '
24,Maintainability,'The system should be able to provide data for the current maximum number of tags presently two thousand for a period of thirty days in whatever format the user decides'
24,Performance,'The system should operate with the minimum adequate resource levels to ensure that it performs at a level acceptable to the user�'
24,Usability,'The system shall adhere to HCI standards. '
25,Functionality,'The system shall allow every type of file to be entered for analysis'
25,Functionality,'The system shall display interfaces describing operations performed during processes '
25,Functionality,'The system shall show descriptions of work-flows and stages as outlined in the sequence diagram '
25,Functionality,'The system must generate reports (date time file hash status) or other outputs after the file has been scanned. '
25,Functionality,'The system shall allow clients or administrator to enter the data or upload or download files from or into the system'
25,Functionality,'The system must meet applicable regulatory requirements '
25,Performance,'The system shall offer high Response Time to give results as soon as possible'
25,Maintainability,'The system must be scalable '
25,Performance,'The system must have capacity of nearly infinity users'
25,Availability,'The service of the system must always be available whenever it is needed '
25,Integrity,"'The results from the scanning process must be reliable, which means minimum or no false positives'"
25,Auditing,'The system shall allow every history of scans to be recoverable in case of system interrupt'
25,Portability,"'The system shall be interoperable across all platforms e.g different browsers, operating systems and hardware.  '"
26,Authentication,'The system user with privileges should input password and be able to log into the system.'
26,Authorisation,'The system shall allow use of passwords and usernames to access and modify data '
26,Functionality,'The system shall allow easy storage retrieval and manipulation of data '
26,Usability,'The system offers an easy to understand interface.  Henceforth people of different age groups can use the system.  Pictures and simple choice of words are used in the system. '
26,Performance,'The system offers quick retrieval of information '
